time	Ix(U1:drainin)
8.001115999999313e-008	2.040926e+000
8.002375819543042e-008	2.063367e+000
8.003635639086772e-008	2.086575e+000
8.004895458630501e-008	2.110550e+000
8.006155278174231e-008	2.135293e+000
8.007415097717959e-008	2.160802e+000
8.008674917261689e-008	2.187078e+000
8.009934736805418e-008	2.214122e+000
8.011803490004818e-008	2.272073e+000
8.014129527469095e-008	2.407258e+000
8.017506236253439e-008	2.857933e+000
8.020869565147801e-008	3.904656e+000
8.025152512398203e-008	6.197319e+000
8.029220955268805e-008	8.647651e+000
8.034647231365790e-008	1.098647e+001
8.036940352599494e-008	1.102462e+001
8.039019464884832e-008	1.023343e+001
8.041993771203105e-008	8.689320e+000
8.044907022960652e-008	7.211130e+000
8.046687019247363e-008	6.478663e+000
8.048141821716448e-008	6.062506e+000
8.049800738195636e-008	5.761495e+000
8.051771062341920e-008	5.563826e+000
8.053614665500375e-008	5.486825e+000
8.055748293437925e-008	5.469264e+000
8.058217315733567e-008	5.488772e+000
8.061534448834360e-008	5.540881e+000
8.065807554820098e-008	5.623538e+000
8.071752020243235e-008	5.750049e+000
8.079172304450129e-008	5.915752e+000
8.088400620951291e-008	6.126317e+000
8.099560644102051e-008	6.381749e+000
8.113716887480811e-008	6.702469e+000
8.131210646320171e-008	7.089803e+000
8.153613243278066e-008	7.567333e+000
8.181952938693377e-008	8.136439e+000
8.219077122366446e-008	8.819473e+000
8.259077122366365e-008	9.470857e+000
8.299077122366283e-008	1.002299e+001
8.339077122366201e-008	1.046680e+001
8.379077122366120e-008	1.079637e+001
8.419077122366038e-008	1.100755e+001
8.459077122365956e-008	1.112757e+001
8.460100000000024e-008	1.112903e+001
8.462145755268160e-008	1.113013e+001
8.466237265804433e-008	1.113107e+001
8.474420286876977e-008	1.112926e+001
8.483733957854854e-008	1.112046e+001
8.500099999999943e-008	1.109445e+001
8.500109999999937e-008	1.116634e+001
8.500129999999924e-008	1.130367e+001
8.500169999999900e-008	1.156161e+001
8.500199999999882e-008	1.174515e+001
8.500223999999969e-008	1.169776e+001
8.500255999999916e-008	1.165216e+001
8.500319999999809e-008	1.157835e+001
8.500432726342318e-008	1.147794e+001
8.500658179027166e-008	1.134386e+001
8.501109084397032e-008	1.119885e+001
8.501924004882250e-008	1.109091e+001
8.502795412545956e-008	1.105696e+001
8.504052961707704e-008	1.104729e+001
8.505935763614132e-008	1.103924e+001
8.509701367426989e-008	1.102232e+001
8.517232575052533e-008	1.098258e+001
8.529465508289026e-008	1.089463e+001
8.540814174453418e-008	1.076955e+001
8.550429120719344e-008	1.059078e+001
8.558378539969412e-008	1.033014e+001
8.565518244024297e-008	9.924964e+000
8.572613413684497e-008	9.267192e+000
8.580000613425166e-008	8.319070e+000
8.587665220994803e-008	7.340061e+000
8.596453874548429e-008	6.576204e+000
8.605968943072102e-008	6.139463e+000
8.615007288165824e-008	5.921453e+000
8.624557951757988e-008	5.775559e+000
8.633708534802305e-008	5.666349e+000
8.642381034046522e-008	5.572424e+000
8.651251078766843e-008	5.477448e+000
8.660786967458107e-008	5.373396e+000
8.670648652849136e-008	5.260271e+000
8.681084600530107e-008	5.132817e+000
8.692032902382483e-008	4.990692e+000
8.704378277944393e-008	4.816018e+000
8.718392988122113e-008	4.587813e+000
8.735109446265876e-008	4.258620e+000
8.755273239642399e-008	3.790451e+000
8.781545457951006e-008	3.204424e+000
8.816080495562762e-008	2.625511e+000
8.845153026735178e-008	2.262883e+000
8.870951183698457e-008	1.974472e+000
8.900053076734359e-008	1.656057e+000
8.928202155498789e-008	1.349889e+000
8.959590699262365e-008	1.010672e+000
8.991093780187333e-008	6.745834e-001
9.029421508692219e-008	2.742451e-001
9.069421508692137e-008	-1.305201e-001
9.109421508692056e-008	-5.178363e-001
9.149421508691974e-008	-8.833393e-001
9.189421508691892e-008	-1.222758e+000
9.229421508691811e-008	-1.532233e+000
9.269421508691729e-008	-1.810994e+000
9.309421508691647e-008	-2.073249e+000
9.349421508691565e-008	-2.375758e+000
9.389421508691484e-008	-2.753244e+000
9.429421508691402e-008	-3.079956e+000
9.469421508691320e-008	-3.225194e+000
9.509421508691239e-008	-3.212223e+000
9.549421508691157e-008	-3.092513e+000
9.589421508691075e-008	-2.885991e+000
9.629421508690994e-008	-2.601063e+000
9.669421508690912e-008	-2.245067e+000
9.709421508690830e-008	-1.826670e+000
9.749421508690749e-008	-1.384575e+000
9.784974411097335e-008	-1.061164e+000
9.807360034685566e-008	-9.052259e-001
9.826753856570467e-008	-6.999435e-001
9.840118677938429e-008	-4.645264e-001
9.852607626371453e-008	-1.990962e-001
9.866337593006613e-008	9.052888e-002
9.888931477567975e-008	5.248724e-001
9.912248151893913e-008	9.162645e-001
9.940312841969272e-008	1.340948e+000
9.966834484131507e-008	1.730102e+000
9.972421869721447e-008	1.811690e+000
9.983596640901326e-008	1.973546e+000
9.999999999999904e-008	2.214776e+000
