  Time                 , I(U1:DRAININ)        
  7.905022160271e-06  ,1.177195369053e+01  
  7.905032160347e-06  ,1.176351718116e+01  
  7.905042160423e-06  ,1.175840701040e+01  
  7.905052160500e-06  ,1.175359360426e+01  
  7.905062160576e-06  ,1.174853051791e+01  
  7.905072160652e-06  ,1.174341721161e+01  
  7.905082160728e-06  ,1.173811937996e+01  
  7.905092160804e-06  ,1.173271292894e+01  
  7.905102160880e-06  ,1.172714655114e+01  
  7.905112160957e-06  ,1.172144525557e+01  
  7.905122161033e-06  ,1.171558782665e+01  
  7.905132161109e-06  ,1.170958016669e+01  
  7.905142161185e-06  ,1.170341154006e+01  
  7.905152161261e-06  ,1.169708047942e+01  
  7.905162161337e-06  ,1.169057943915e+01  
  7.905172161413e-06  ,1.168390375379e+01  
  7.905182161490e-06  ,1.167704633467e+01  
  7.905192161566e-06  ,1.167000068518e+01  
  7.905202161642e-06  ,1.166275907473e+01  
  7.905212161718e-06  ,1.165531350388e+01  
  7.905222161794e-06  ,1.164765505293e+01  
  7.905232161870e-06  ,1.163977414581e+01  
  7.905242161946e-06  ,1.163166027957e+01  
  7.905252162023e-06  ,1.162330204363e+01  
  7.905262162099e-06  ,1.161468695971e+01  
  7.905272162175e-06  ,1.160580140536e+01  
  7.905282162251e-06  ,1.159663047131e+01  
  7.905292162327e-06  ,1.158715783394e+01  
  7.905302162403e-06  ,1.157736559501e+01  
  7.905312162479e-06  ,1.156723411227e+01  
  7.905322162556e-06  ,1.155674180468e+01  
  7.905332162632e-06  ,1.154586493757e+01  
  7.905342162708e-06  ,1.153457738098e+01  
  7.905352162784e-06  ,1.152285034069e+01  
  7.905362162860e-06  ,1.151065205764e+01  
  7.905372162936e-06  ,1.149794747330e+01  
  7.905382163012e-06  ,1.148469785741e+01  
  7.905392163089e-06  ,1.147086039496e+01  
  7.905402163165e-06  ,1.145638772916e+01  
  7.905412163241e-06  ,1.144122745758e+01  
  7.905422163317e-06  ,1.142532157915e+01  
  7.905432163393e-06  ,1.140860589044e+01  
  7.905442163469e-06  ,1.139100933112e+01  
  7.905452163545e-06  ,1.137245328007e+01  
  7.905462163622e-06  ,1.135285080644e+01  
  7.905472163698e-06  ,1.133210588293e+01  
  7.905482163774e-06  ,1.131011257300e+01  
  7.905492163850e-06  ,1.128675420905e+01  
  7.905502163926e-06  ,1.126190258510e+01  
  7.905512164002e-06  ,1.123541719481e+01  
  7.905522164078e-06  ,1.120714455429e+01  
  7.905532164155e-06  ,1.117691765756e+01  
  7.905542164231e-06  ,1.114455562064e+01  
  7.905552164307e-06  ,1.110986357566e+01  
  7.905562164383e-06  ,1.107263287813e+01  
  7.905572164459e-06  ,1.103264168424e+01  
  7.905582164535e-06  ,1.098965593770e+01  
